Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Gabi Bienz,Die Mitte,Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),5 (data-value=67),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),2 (data-value=17),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Othmar Mannhart,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),4 (data-value=50),5 (data-value=67),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Sarah Paul,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),No (data-value=0),2 (data-value=17),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),5 (data-value=67),3 (data-value=33),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Kerstin Mannhart,Die Mitte,Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),5 (data-value=67),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),4 (data-value=50),2 (data-value=17),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Rafael Osuna,Die Mitte,Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),4 (data-value=50),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Esther Hauser,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),4 (data-value=50),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),2 (data-value=17),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Stefan Bienz,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),5 (data-value=67),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),2 (data-value=17),3 (data-value=33),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Henry Wild,Die Mitte,Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),7 (data-value=100),4 (data-value=50),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Harry Joelson,Die Mitte,Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),4 (data-value=50),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Darius Vogel,Die Mitte,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),4 (data-value=50),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),1 (data-value=0),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
